model,scenario,region,variable,unit,time,value
canoe,nz,canada,secondary energy|electricity|hydro,PJ,2035,1242.6324775043615
canoe,nz,canada,secondary energy|electricity|hydro,PJ,2040,1245.2215102413936
canoe,nz,canada,secondary energy|electricity|hydro,PJ,2045,1243.18242509944
canoe,nz,canada,secondary energy|electricity|hydro,PJ,2050,1240.1496366497884
canoe,nz,canada,secondary energy|electricity|natural gas,PJ,2025,82.44303970923346
canoe,nz,canada,secondary energy|electricity|natural gas,PJ,2030,91.81105886286144
canoe,nz,canada,secondary energy|electricity|natural gas,PJ,2035,116.75376126396105
canoe,nz,canada,secondary energy|electricity|natural gas,PJ,2040,117.4780180573147
canoe,nz,canada,secondary energy|electricity|natural gas,PJ,2045,105.79357432093632
canoe,nz,canada,secondary energy|electricity|natural gas,PJ,2050,102.21030827109504
canoe,nz,canada,secondary energy|electricity|nuclear,PJ,2025,380.73407377470517
canoe,nz,canada,secondary energy|electricity|nuclear,PJ,2030,282.9089070249507
canoe,nz,canada,secondary energy|electricity|nuclear,PJ,2035,230.70143644125588
canoe,nz,canada,secondary energy|electricity|nuclear,PJ,2040,406.5939731169268
canoe,nz,canada,secondary energy|electricity|nuclear,PJ,2045,517.982743367444
canoe,nz,canada,secondary energy|electricity|nuclear,PJ,2050,626.8863811128526
canoe,nz,canada,secondary energy|electricity|renewables,PJ,2025,1168.7097746193026
canoe,nz,canada,secondary energy|electricity|renewables,PJ,2030,1531.3763228253595
canoe,nz,canada,secondary energy|electricity|renewables,PJ,2035,1875.935832045052
canoe,nz,canada,secondary energy|electricity|renewables,PJ,2040,2003.2621718685257
canoe,nz,canada,secondary energy|electricity|renewables,PJ,2045,2066.236721717431
canoe,nz,canada,secondary energy|electricity|renewables,PJ,2050,2220.9186274189306
canoe,nz,canada,secondary energy|electricity|storage,PJ,2025,0.35679096284185696
canoe,nz,canada,secondary energy|electricity|storage,PJ,2030,0.6211394257943127
canoe,nz,canada,secondary energy|electricity|storage,PJ,2035,1.191924376865044
canoe,nz,canada,secondary energy|electricity|storage,PJ,2040,2.3394044345346052
canoe,nz,canada,secondary energy|electricity|storage,PJ,2045,3.82699250320008
canoe,nz,canada,secondary energy|electricity|storage,PJ,2050,10.838396643328334
canoe,nz,manitoba,secondary energy|electricity|hydro,PJ,2025,98.28722304837689
canoe,nz,manitoba,secondary energy|electricity|hydro,PJ,2030,98.27768317188922
canoe,nz,manitoba,secondary energy|electricity|hydro,PJ,2035,95.99317122146432
canoe,nz,manitoba,secondary energy|electricity|hydro,PJ,2040,98.28472336174448
canoe,nz,manitoba,secondary energy|electricity|hydro,PJ,2045,98.28338968397516
canoe,nz,manitoba,secondary energy|electricity|hydro,PJ,2050,98.2819439007862
canoe,nz,manitoba,secondary energy|electricity|renewables,PJ,2025,26.360317414743125
canoe,nz,manitoba,secondary energy|electricity|renewables,PJ,2030,28.243625685461243
canoe,nz,manitoba,secondary energy|electricity|renewables,PJ,2035,28.600319695191086
canoe,nz,manitoba,secondary energy|electricity|renewables,PJ,2040,38.99971533913667
canoe,nz,manitoba,secondary energy|electricity|renewables,PJ,2045,42.658961309847676
