Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,nz,AB,Activity|residential|R_LGT_LED-EXS,?,3.849735404,3.849832384,3.657360367,3.849826876,3.079795466,2.117342023
Temoa,nz,AB,Activity|residential|R_LGT_LED-TYP-NEW,?,9.532294395,11.81162499,14.59844436,16.54824189,18.95767068,21.32200437
Temoa,nz,AB,Activity|residential|R_LGT_T12-EXS,?,1.05367842,0.824733827,0.56586587,0.366534219,0.095833896,
Temoa,nz,AB,Activity|residential|R_SPC_CENT_AC-EXS,?,1.162450477,0.820510254,0.478564024,0.054731744,,
Temoa,nz,AB,Activity|residential|R_SPC_ROOM_AC-EXS,?,0.081492061,,,,,
Temoa,nz,AB,Activity|residential|R_SPHC_AIR_HP-TYP-NEW,?,49.71766813,85.74491112,123.2228515,166.048331,182.8728325,193.6643723
Temoa,nz,AB,Activity|residential|R_SPH_ELEC-EXS,?,9.087530611,6.696077841,4.304621623,1.721850702,,
Temoa,nz,AB,Activity|residential|R_SPH_HP-EXS,?,1.292127523,0.70479594,0.046984157,,,
Temoa,nz,AB,Activity|residential|R_SPH_NG-EXS,?,78.85208853,55.66030164,32.46852809,3.710693381,,
Temoa,nz,AB,Activity|residential|R_SPH_NG_FRN-TYP-NEW,?,,0.000126853,,,,
Temoa,nz,AB,Activity|residential|R_SPH_OTH-EXS,?,0.604425384,0.426653689,0.248881692,0.028444011,,
Temoa,nz,AB,Activity|residential|R_WAH_ELC-EXS,?,0.844064119,0.437386331,0.029164895,,,
Temoa,nz,AB,Activity|residential|R_WAH_ELEC-TYP-NEW,?,,9.724785919,22.80708764,37.3398926,39.800871,42.14947615
Temoa,nz,AB,Activity|residential|R_WAH_HP-TYP-NEW,?,15.19449964,15.19471517,12.15615887,0.000505524,0.000934466,0.001041054
Temoa,nz,AB,Activity|residential|R_WAH_NG-EXS,?,14.60768329,7.303841314,,,,
Temoa,nz,AB,Activity|transportation,?,1019.759924,1016.914758,941.2123399,868.0138026,905.2624429,954.2926026
Temoa,nz,AB,Activity|transportation|E_T_ELC,?,45.86287463,60.39795915,80.07364093,113.6886208,119.5194634,126.6392003
Temoa,nz,AB,Activity|transportation|F_T_CNG,?,0.250972004,0.105929446,,,,
Temoa,nz,AB,Activity|transportation|F_T_DSL,?,110.5635639,90.30307991,54.24635951,17.87532823,19.05842167,20.40765521
